0	1	2	3	4	5	6	7	8	9
('MJZPQMcz8hUTpJvK', 0.7191834240339291)	('dst4n8hPwe3bvdPI', 0.7115553288638381)	('FFtQyoUyiRXOMzSY', 0.7113580289440982)	('3zunVGLsZK0jdx8C', 0.7065389123968344)	('p4TP9oBnIoAIiFtw', 0.7042267348167566)	('yukcozI2a7igd7CU', 0.7041596553433386)	('5EhorbjgWx6gQWck', 0.7031430437646448)	('NmJRqoipEN80wJot', 0.701169169960252)	('L2YZohnGiw7ERRnm', 0.7010311108486235)	('n3J10IFEGSmdS2la', 0.7002535922147635)
('ua5A3mFX6oxgFKuz', 0.48335427691681)	('UUT3MnnHgEmcJVPR', 0.434106431837905)	('69QbPeCZgeBiMWmG', 0.4242256598251543)	('B6e1BmHUc0ReyvYm', 0.41626833767825017)	('WfxzZrui6qQqt5MA', 0.4152278402429673)	('OkMyyoU8miAyCSac', 0.41316618270332695)	('s5VkZVhFxqFZrlDj', 0.41185352455913254)	('k3xVM762w3RTOSc0', 0.4111623996735747)	('2iYRelCCfGkKxQOS', 0.3958512599443752)	('lPush1WVRmJkcC1H', 0.39241841031549635)
('qVwKFf5dxh95bEAA', 0.31456613888858054)	('i6KhSMtOgvrX7KPK', 0.31081640230415786)	('vzd0iaf05QC1Tt8O', 0.309855001528472)	('s8kcJT0HkL5s12Em', 0.3043424226798447)	('UUT3MnnHgEmcJVPR', 0.29680291091037947)	('0E1zWP8MXmbXfTTX', 0.29551222055502596)	('VFllAQWdcfpTHYOL', 0.2943460884533414)	('X9UmKzxyEDZ0Oscc', 0.29233315768891144)	('k4UnduvYeRQSqlXR', 0.28797120846809443)	('ZVVd8SCDX0vgDyTk', 0.2870115974883758)
('ReiFJzmUU7fazThi', 0.402789137988425)	('5EhorbjgWx6gQWck', 0.393928721799463)	('8cVHDXin8gEdSofU', 0.3895732811708546)	('Unhq5a0ezoDOMNoA', 0.3806077676820934)	('7ekrmFU2el0NnRkp', 0.37505158950113004)	('I9U9ILhMjeYNcsJi', 0.37490959585702277)	('8GRxTPVdJcJi5TCw', 0.3645077473793158)	('TtQFvHNCmJe9ldjA', 0.3630399181649545)	('NcJM6LYjo623WZNd', 0.36259759810812225)	('ryKUGv9CqFhwCfFA', 0.3565915143219549)
('7ekrmFU2el0NnRkp', 0.6958014910892669)	('3zunVGLsZK0jdx8C', 0.6937104683782893)	('2tCiohnRFkJrnof8', 0.6927496503022467)	('D46DF60xWITpICPL', 0.6919879931434134)	('LEsoWCESdo0w4Jpv', 0.6915819301381915)	('y7YlVS4ptVmDNpCe', 0.6891335462110486)	('n3J10IFEGSmdS2la', 0.6866485767119863)	('ooopTtHdA0AqT9jY', 0.6847793105936476)	('L7gVYvcJZULscf9R', 0.6832073141824022)	('xDBer8lasU1LbnVz', 0.6811813132409301)
('ZVVd8SCDX0vgDyTk', 0.4616264954358592)	('O0eKYyai3qca11J0', 0.4593533021281686)	('scdB4T606h7kxHjJ', 0.44849225769353807)	('2iYRelCCfGkKxQOS', 0.4313115098770145)	('qHpilVpRumptQjJi', 0.4288244606474868)	('UUT3MnnHgEmcJVPR', 0.4210448519904346)	('z2b4ccWTY2ScIe2H', 0.41577914930520976)	('4BMJzorUAay67wMc', 0.4131957582072774)	('uaOlgELHIIHYMsAw', 0.40964373139417803)	('aPelENX8G49Gj6oj', 0.4085762776531408)
('L76yXbX4hMnIwhiE', 0.6539909875952136)	('EjOvGF0HdkSCxF4I', 0.6211238873121638)	('TytooNyEehYhy64v', 0.608919055963294)	('KJ9uHHRaK27UerQl', 0.5990362245954313)	('NxAAyq4j8drO6uBU', 0.5834484147425709)	('0ZLbSoXXsKlXYZ7a', 0.5806507022347798)	('cHTSbjh3LW3dGT0m', 0.575788642115125)	('CCP8zIK9PsURC8VV', 0.5725107282129166)	('AV8exd33gKqQzt0p', 0.5599584512999605)	('H2gelsotmlTqujBV', 0.5598465152232003)
('mEFMPdURRF3kXZnF', 0.31258002924879585)	('rMIOGZnLAPwXne11', 0.2840502243300391)	('mTwXhqc4op8iTl4j', 0.28189237909646886)	('ISNlLeHquvqSE6IB', 0.2707544171083094)	('rVx4Uy4O3w2MkAKV', 0.2679005877222659)	('f4eepQQkg2ep1b4K', 0.26641651447425624)	('j38kWGeww0fjqBrC', 0.2392571928629638)	('9gWQmQ9bBSydT8yb', 0.2367555117247511)	('xLfQdC8ZOzkzuyWD', 0.23390718753291623)	('4U5K9CSgnSfUbI99', 0.23275304543074748)
('R8NkOOGL29kp50Xj', 0.4900227419777642)	('BXwILIhQvDBMr0Bn', 0.47545415131687063)	('iRBJ4a4wpFlzHVIX', 0.4735078614985872)	('NZZmA8Wiswwiu3tT', 0.4703925870675866)	('xWiOsPbEMh5AGBcO', 0.4549603827783795)	('GbVcaSJnFaQncigl', 0.44893645865408266)	('k4UnduvYeRQSqlXR', 0.44788037020377847)	('M8VrcoCQ4ScTps9k', 0.4450508701809141)	('uPABePFt36bUYbtI', 0.44183494190234995)	('QTtOYIxBJzCZOonL', 0.43786404583206817)
('spSvaSLAy114Y23f', 0.593167729168431)	('Jt6Xlj3qdL1X1uCS', 0.562746441982921)	('36bH1xyw3L0z9Tzo', 0.5032711448162465)	('nY793S0Nmnw3WVah', 0.5017501350878653)	('ChRAns38PB6eqzrK', 0.4953635065617231)	('9So7TgZjEYStsGB4', 0.4933118925233277)	('9Z6Y5H0kW7IF1Vek', 0.4916114864745871)	('vf4kdyfDFl9jHDb3', 0.4830872351834852)	('2sPhTCourKP3kNBG', 0.48067587582148014)	('WgysWGs9JAJ5AOkc', 0.4781422765330453)
('fpspvnC1jELCCN1C', 0.7454475609027965)	('LivaZ25x4zX2XEu7', 0.6971074707528349)	('vKcn4YVoBAKliLa7', 0.692358337583449)	('e4Zg3BAKvJ2fdMjJ', 0.6915358270387795)	('df3HHKRCRC6r2ebj', 0.6498963591083149)	('jGIHp0MVsFnKuOr1', 0.649181926416316)	('x7VJwzSyRISBpAQi', 0.6343833411332115)	('9UXJY75NJUJBsKPV', 0.6308910465405076)	('zyz0UbYN4n9rHXex', 0.629723298056022)	('W86mIKLYRcdpDQB7', 0.6288294919207039)
('lUKXMRQbu10DU3QN', 0.6496425452683788)	('VrErKSpMTxb66nPu', 0.6345577347820306)	('42Z44IeAaxsS0s60', 0.6183711521733815)	('AyfgPuTGezQu8Jo5', 0.6098866602002003)	('c3jtqmfCO2VPQ2EO', 0.600103269439099)	('VxcuunxDgoNRAxdG', 0.5953316524101071)	('tnVoxroEqQJpakCS', 0.5939550466282487)	('6wuMDtSbhevNau8a', 0.5905945576538094)	('UXo3hur2qjBuE8oe', 0.5902589881617104)	('P6Z9ptCOYl5cteZe', 0.5890712462810856)
('ReiFJzmUU7fazThi', 0.5357108530637658)	('wIdFwKaBaNtDmpk3', 0.5254994351508986)	('UJPwK6tlMrb4VPBG', 0.4899340215943121)	('8GRxTPVdJcJi5TCw', 0.47229659974687194)	('yrnQ3qo6XXb0MX7I', 0.4696488016885242)	('lChQX1cZG7eW9pVJ', 0.4616097618892314)	('gVIMO5EjGXxMJKYx', 0.4615293719050908)	('0Vbfs25K0D6Yuq5T', 0.4562190942905383)	('3zunVGLsZK0jdx8C', 0.45398817753096504)	('drA9gwq7wLwRSHWS', 0.45076971571056984)
('rE3PsUTtnKlyF1wn', 0.49844339488391926)	('iPwlfM8JgRDQK6Zm', 0.4850166437819109)	('DLxu4Y8ISmd6NI9c', 0.44268022783357136)	('807iBpqlN5mGpuWT', 0.4034875535235323)	('zrxSYjVqwJrc2YGG', 0.4019786631075092)	('MIlLY1EQIiEU9QCt', 0.393287465791179)	('rc2kztl1OlHlz73f', 0.3889535760797225)	('ozIIQvblTN6Slpfa', 0.38767694778917494)	('vNApUXLy879kT1Np', 0.38039724957492294)	('OPy8wJgFvgSEHgLz', 0.3760254994800123)
('CK6088zZNE8lbzug', 0.5353587419498702)	('gIcXHYZ2imcqY0jc', 0.49132122344838425)	('l1XlZd8wo4IO5fn5', 0.4780906807431644)	('pSOYlgWNzpZWpN9j', 0.47451830892208924)	('heTuEiOTD6UFfBfb', 0.4670515749679111)	('rPEtKHJnHSFag9Lr', 0.46285879303028654)	('bGnM1pwwsXFK8i4k', 0.46248177078510927)	('mlRU0g4WnCiiok60', 0.45366374661145925)	('eEvpCRTIM0ch3r2Z', 0.4508980557278707)	('MK68wc0Wq14RhwWu', 0.4480398081408765)
('6dTPUakCVLPE53u3', 0.5780570837229531)	('X8defiYa8Kz7DAoL', 0.5434081540187444)	('udCXr0H68WJcmHt0', 0.53485642273279)	('4p2yCLhkAA7prvDV', 0.5246053252723146)	('4jfA6hYpLJgLanGk', 0.52173060976047)	('85krMisp9eMLODi2', 0.5185611296123878)	('QfUglc6m1JIYhXRH', 0.5155363192031001)	('H5k2E6IhGaUcoTqK', 0.5140791574310091)	('ILZwDeBWWOKmB5RL', 0.5137504504230264)	('qVwKFf5dxh95bEAA', 0.512841454223772)
('VDeLfBD0Jsq9FCVv', 0.42908352946734285)	('W6C8d6h3WXJQogSJ', 0.41467288049754913)	('6G3q6YqIzBN1JUjc', 0.39992638721511103)	('va9VhrfmOQ2hfqNu', 0.3871785982098188)	('3gLEqubu3CcWQGY8', 0.37336852005932925)	('AsV7r3Wwfn002Ah8', 0.37174251837369915)	('JfyymS9vUpaSsdXY', 0.3659588612316836)	('Evdw7UL2gxUcwFdn', 0.3561363341113945)	('PxvxocySNYDunpIG', 0.3526197823885885)	('giggjHlusqieNE8L', 0.3354656102343084)
('KNkk2UdyYeZTRMUB', 0.5422304367868357)	('dM0xLgekoxu8BB9G', 0.5295180286789156)	('ENWDfNzI6Hyu7KVg', 0.49775516044346796)	('EC3jg1iDL6Q8cvcP', 0.4922325866322627)	('9lXQFSZXONWQspKO', 0.4838730729354289)	('olw9C9zcBP0ySovw', 0.48147202252031623)	('XXjyfHu2EnqA8upE', 0.4801210237538941)	('NcsDCgRsoE4IguEQ', 0.47798738506341193)	('K7vyxC83lQfqZSPg', 0.47558014174030916)	('shjm5lpCb2kYN9Kt', 0.47481716604137925)
('txGuMXdwWvy1zQg3', 0.31136671662141907)	('L2GriWeUOiBcGzdK', 0.3077810224629065)	('fJDvIO1htrlqhbJ4', 0.278902421256291)	('q9JEP2ZLgz89a02V', 0.27785976531570483)	('CXJHYT7WHOcAlzpc', 0.27698790820477165)	('AVbxOlKxkN9K5A1u', 0.270148029988207)	('xFHmLuGPrHQpfw5b', 0.2693899427217248)	('2VlKYw5QIFuFdxZx', 0.26917392092685716)	('hJjpDKqszggha3Gy', 0.26898474344759926)	('w5y1THbmbvzzBRBs', 0.26611960973079946)
('vNApUXLy879kT1Np', 0.3682858240726541)	('9lSTlHxPLJEClwEk', 0.3368066948034698)	('Utn46i9ypxeqb3Yt', 0.3356609568350679)	('vFwcENE1yrw86mE0', 0.33457922434724136)	('C9bhTmBGJubNVUhW', 0.32610421447038485)	('tBDRHhhcyHYnr6QT', 0.3255434160515059)	('PiyCkX6IHCTpEgF5', 0.3221733508374102)	('wSb3Es3IgM2Tak7Q', 0.31988947305211146)	('ZwH79vuG2oserzc4', 0.3185414726498049)	('Lc2PRwM0FYxpjpIH', 0.31595908922260446)
('3v8XtKKNq40IOHCP', 0.4044689048858897)	('Wcg7LhYoTvJtmsY4', 0.3742740206304728)	('E3g14Cd5lqPM250D', 0.3676167966205148)	('sg8sZZHqiIEY7D5S', 0.3609149378882108)	('C3aPWP9mSNzUDfU8', 0.3585173201873147)	('2FYQL2dIN8aWb0dC', 0.3568829700398596)	('Vco2SHBO36jGIj8g', 0.35649128232941313)	('2knCAWRqPtjPPoAU', 0.35470904897627936)	('PdcTvt7fWomuG5NV', 0.3544025044105573)	('thPQjkdYIlTTVwgO', 0.3538618567780133)
('53mtA7rHOVa6LByt', 0.6589933286341849)	('TtQFvHNCmJe9ldjA', 0.650730858218147)	('n3J10IFEGSmdS2la', 0.6503998723770639)	('FFtQyoUyiRXOMzSY', 0.6440079401543946)	('rjKvo8FxR7FRvK49', 0.641927326459626)	('kObtPNCEmcSyfTt6', 0.6418404948383957)	('xcWYLAbgy0udCFmC', 0.6386487673877177)	('Q9ji3TxEcglfaJXB', 0.6374305019699567)	('bMTjmxX2psrPeSyv', 0.6369306707229919)	('TIWI0qXewm8aLL31', 0.6357320284255163)
('gjKRCenqO9F0nM5B', 0.5309488341168335)	('svzZTDaQPsbtQCHm', 0.5148411456749702)	('knRIa5tWsfTo7RaB', 0.49546405419799733)	('hYDBUkFGT8axnXGa', 0.47753463971761884)	('k6ZHC64Sv3ZF5BDJ', 0.47290177349709633)	('Sh3b1hJv0MmibHbi', 0.4723613054458152)	('VVmGTq2rlNla7Lz4', 0.4680515869377192)	('QgCSYJwimIpcmd75', 0.4627447008046014)	('8kNMyMRHqKNrFkUw', 0.45789989507107753)	('qES5o94VP8t2XZTT', 0.44173810705807337)
('0h8G1bhVFVP6G9Km', 0.4293234047381136)	('gPsx8rZPCg40IhJI', 0.4192682453269568)	('Mkm7IeU8vw9ScgaK', 0.40068728456498337)	('ndc4FM63aky0yHVr', 0.3946140701457002)	('0Y5TcGlWJnW7IVdK', 0.3924033661144176)	('RzXzJEREmADsh0HZ', 0.39211676365664117)	('zGDgkH7f4y7izfku', 0.37258037510048175)	('UmkVwTXLyCT56EIJ', 0.3680016741678923)	('htmgabdgLy99IU32', 0.3599077586239768)	('1L5YgJUNjt0kE3rf', 0.3550099533005154)
('sIdgM3ViUqhQmfy9', 0.5328322359091335)	('AIMISCWIplym2JNG', 0.5150851931000441)	('MTWv5ooA00iAD8Ms', 0.4712791824967077)	('lCqVlFaTe1dVYMov', 0.4524963708824173)	('DKoaxlwQEKc4lELm', 0.4516839367882027)	('IBGayRZ1KqrZhMhg', 0.44363054288682885)	('vVMN4kCHjfI34Mx6', 0.4396151110013714)	('M8xN0FNj9Rao1Q8o', 0.43554191023656985)	('sFOlTrxjBg4AJEvw', 0.42616929181665736)	('iikufrfKJAAwTjFv', 0.4260546271290634)
('tfYC5coGJHVVq041', 0.8004414998829921)	('SzBZuEDukwCG1Oxu', 0.7996048967802452)	('VCvtBlp2JaXDoHYJ', 0.7917655436778778)	('kObtPNCEmcSyfTt6', 0.7802476540729196)	('sY43Vcsj6bSeYs3G', 0.7729236715463246)	('FFtQyoUyiRXOMzSY', 0.7724645203572049)	('y7YlVS4ptVmDNpCe', 0.7687943072192087)	('bMTjmxX2psrPeSyv', 0.7687929214037686)	('gzBilUKgHBLjK0Hi', 0.7622936235098736)	('3nPn3n2vAGS8bhzp', 0.7610487353657752)
('GaCToBXs3310BQ1L', 0.6045529541588451)	('j0wTBFEHzNDrswZN', 0.5980622822327797)	('87Ct1HWIQ8QBLuP9', 0.5743957079501704)	('M6sUWCSbEbPcj8vv', 0.5708199233131551)	('PBFAxExx5KTjrNWE', 0.5558770006061746)	('UYnklBBToUS2b2yW', 0.5516540343155935)	('SxAc4YP417HvkkMf', 0.5415777411285219)	('kk3qMN31v0OCnApS', 0.5289897045401645)	('2IZjV6srFH5YXkFr', 0.5288832938721516)	('XnfPW7kGspnUiKjT', 0.5210213964339422)
('ofl1u3WysNABR4to', 0.4417258257988194)	('vsBwnsneCoroMWjj', 0.3905415628804039)	('7OsxMDcFbqdMHXN0', 0.39024183073190033)	('Jzn4tZikE21nNUPl', 0.38670480842382765)	('LzP8Md1xFtzVE7ca', 0.38133804137446303)	('kVAqNushjm7xPaZz', 0.3668248415307362)	('vJxpiRcgDkE7WsoT', 0.3615628320548772)	('vkeSbRWczyhtThwz', 0.3571252548281314)	('oahj33USrwBNIf7V', 0.3563534199603774)	('QUzttKRVMeCkMpfU', 0.3549513879266613)
('6I4Yd9XMdwdbumsp', 0.6824874233400827)	('QWvTOCsSPgZlMblt', 0.6379613915630981)	('hMoLbFgENhtFTrS7', 0.6358870564911114)	('i0DM2DOvbmy6zrnM', 0.6339690786487373)	('CfCJl3HWjZCvaTv3', 0.633023157925143)	('qfdGKqj2QIuogYbc', 0.6270227252839704)	('uRZGJJGMoIBjAfeg', 0.6260688306107224)	('UYnklBBToUS2b2yW', 0.6241642627598858)	('wuUoux0bgSjXaxrX', 0.6237972797392677)	('X9zyiDeDOr6k8iUd', 0.6235444373134492)
('RM1wvitoLevqn9NQ', 0.7582481201488601)	('SzBZuEDukwCG1Oxu', 0.7247466178104176)	('0QSuci5nyuRojGbo', 0.7196242417353889)	('kObtPNCEmcSyfTt6', 0.7128573581018457)	('Sr6cMgnJq7UmdnyL', 0.7046286447885232)	('rTTx4mjBL4W2oDPf', 0.7011583067201967)	('7ekrmFU2el0NnRkp', 0.7002233859850031)	('ryKUGv9CqFhwCfFA', 0.6998559580867536)	('Tx6KG4X6fEheS8o4', 0.6995064986546482)	('sY43Vcsj6bSeYs3G', 0.6976575597944936)
('4BrKNjebum035Xqa', 0.8178545917896114)	('5EhorbjgWx6gQWck', 0.7939642147692691)	('yrnQ3qo6XXb0MX7I', 0.788773513499549)	('u51dV5S7ZbC3Vrn7', 0.7825520533226179)	('3zunVGLsZK0jdx8C', 0.7810407404475277)	('nP4fQq4Ktl5UQY6e', 0.7796788765542304)	('UzvrpELONhh1Xc59', 0.7781092069588923)	('TtQFvHNCmJe9ldjA', 0.7777520991589102)	('i3Hq3mMS2pL8aWsU', 0.7743570178183297)	('1424LaVTdRfu6RZc', 0.7723349470781687)
('txqWKZVHf2RucEeY', 0.6192068789516851)	('NynHPW5MWtrjK1lY', 0.6161659347902452)	('WgysWGs9JAJ5AOkc', 0.6072537240582156)	('gwQesBfalyqw1Wdn', 0.6017866390700803)	('2wpBAJJvohmYlNLa', 0.5980083830328408)	('Dr5vijFUZDaMyGsg', 0.5955477595626547)	('WwSQqMIUb6Oc00oH', 0.5880979472774828)	('ZSdjXRSSTrQM4ONP', 0.5809122013894504)	('BMEAx3O2KO1Ggpml', 0.5808528952083135)	('oKNu3wmU88In3Mm3', 0.5797163930449062)
('WESZfNkEXTSzBsaH', 0.49783104158335384)	('vJxpiRcgDkE7WsoT', 0.4877970061189927)	('P3zsw3IZzxbf237f', 0.4768716848515876)	('A4zPamKFKv5DdO2U', 0.47590463409896777)	('khCbZbTtPsGbPbSe', 0.46999179344148934)	('SxfPDWT7SU3Rf7vS', 0.4650599720835906)	('1cUUnlwxUH9rXdBd', 0.46200549438067323)	('BC6GrX7aecdpkLqr', 0.45989123855000635)	('xZfKhGT9dEbT1ESv', 0.4532033710201645)	('EhL8ZaVhOKqhAJID', 0.451100644069273)
('kVAqNushjm7xPaZz', 0.6766097803795469)	('pQ494PZ22c3yjNFq', 0.6700813925614593)	('YzAbpq7RBs7sSjwK', 0.6637041163889383)	('Z4kKoPbOfUargtN5', 0.6544103450968255)	('Lwod8hlqEglIT2G5', 0.6401659892713667)	('dDyJBl7FGVK0IaSE', 0.6361679061682557)	('uJAWMf4CJE4a35i4', 0.6341933212884096)	('yAnDRle4In4XlRfR', 0.6332810830141339)	('ooopTtHdA0AqT9jY', 0.6330856902335128)	('20zr6H3cRMCmQpEB', 0.630143328139136)
('8y5GVBt5FnpVKiI7', 0.5376710726803176)	('u6dc5apNt2nFvHJa', 0.4721421482835024)	('3NyBdzSH2FNfF6i9', 0.4604890052033652)	('HdavlfT9eh8AnBP8', 0.4564224979770505)	('NxAAyq4j8drO6uBU', 0.4519966824818874)	('6B5ZrThNCZqj3AUS', 0.4297517731185253)	('JjGqwBkjtdTGx16P', 0.4270233018274952)	('60OSb9vno2104Lbw', 0.42001341160827)	('bP9ZktHAPThm09Fs', 0.41714255881406137)	('hxGBTxhSf7o6b1fz', 0.41667795943446506)
('Wi5VoAGKfSo81Gio', 0.6632507031926163)	('qNXBWASsScqXJZK7', 0.6298899826478815)	('j7AdtCv6SrjpTwmi', 0.6252115995658439)	('Tgd6rArJj9imIA25', 0.6242137009409525)	('ZLN3e0k2wN7RAT8a', 0.6221207811354877)	('e6lCzjZBYPWIS4Qm', 0.617691834152146)	('Lfz6ZdxizZyKdGzS', 0.6169511738958844)	('CLtPEcep00zlBPgY', 0.6165818953646646)	('Uv3nRAabmAClTHFV', 0.616043833237694)	('CfCJl3HWjZCvaTv3', 0.6155956333311434)
('1L5YgJUNjt0kE3rf', 0.5964008444843771)	('0JYaNceX5H5sSUJi', 0.5748629080960238)	('1JsRL3O4FexW31yz', 0.5044347533030532)	('fpspvnC1jELCCN1C', 0.5014188783194058)	('RdGF9m3dpKiY9VMz', 0.4942470567087872)	('AIMISCWIplym2JNG', 0.4939473701297262)	('F8CTIUwb6mQ8gV7G', 0.47263581062080423)	('DKoaxlwQEKc4lELm', 0.4699404857127001)	('x7VJwzSyRISBpAQi', 0.4674230558421133)	('zJrLudtjuoTngLd0', 0.4671808589592391)
('wvrZy2Xgc4Nf0VzZ', 0.5896354298716935)	('zpahhSN2PshaUsLG', 0.5866801844973757)	('gH2sydFqsTPR3rjl', 0.5835128021842277)	('7yqWw3pZPkcCUC2M', 0.5811860759971421)	('pmHcEjRa4hDAZZCP', 0.5715725434173563)	('hAkFH1cGy1fLhCUr', 0.5680539566732195)	('tUbitkK2FifThlov', 0.5537677958105856)	('v5lrdxBlpIc0tGN1', 0.5419030209993023)	('QCXRQ9ClIIsHnqQH', 0.5396606389804929)	('lwCTOXXxd3B3sx6h', 0.5390075862412645)
('L76yXbX4hMnIwhiE', 0.6517774300251393)	('fV9BmTl22n3hunyh', 0.6500123311843967)	('CCP8zIK9PsURC8VV', 0.6489507216363396)	('Lb1aD3FfXFY3wdOC', 0.6110297475172302)	('MDwilAKB1n0mPfox', 0.6087274295994046)	('AV8exd33gKqQzt0p', 0.603469356909166)	('b0klBEr6fIiJ3MmI', 0.59742003913947)	('5SLhbjsCaAAdMGFG', 0.594046529779525)	('uzKXLSxiAgaOlHcV', 0.5925752846477034)	('Iu8G75bCsdyXIiIe', 0.5903845492711163)
